bread_1_flour_white.kg,bread_2_cereal.kg,bread_3_rice.kg,bread_4_beans.kg,bread_5_macaroni.kg,bread_6_lavash.kg
1.25,1.56,3,1.25,6,90
210,7.5,5,5,10,7.08
2.5,0.75,2.5,1.25,5,175
0.29,1.1,0.14,0.29,0.14,57.14
1.9,2.86,3.57,1.71,4.29,85.71
3.75,1.3,12.5,6.25,11.25,182.5
3.75,10,2.5,2.5,15,275
1.2,1,1.2,0.8,2,90
100,0.75,1.25,1.5,2.5,1.5
12.5,5,5,2.5,10,150
1,2.88,3,2.4,6,90
7.5,2.5,5,2.5,5,175
1.25,2.17,7.5,3.75,10,91.25
1.67,2.5,2.83,1.33,4.17,166.67
60,0.4,2.4,0.6,3,1.47
200,7.5,7.5,2.5,7.5,20
75,5,2,1.25,2.5,35.56
125,2,2.5,2.5,3.75,26.88
233.33,6.67,3.33,1.67,6.67,185
0.67,0.83,0.83,0.5,1.67,50
1,2,1,3,3,166
120,4,2,1,5,95.6
10,5.5,10,5,15,370
1.2,3,2.4,4,8,70
2.5,3.75,1.25,2.5,6.25,95
1.25,1.5,1.25,1,3,125
40,1,4,4,3,1
400,12.5,7.5,7.5,7.5,134
4,1.4,4,3,6,152
52.86,1.43,1.43,1.14,2.86,86.14
3.33,3.5,5,1.67,6,98.33
3.41,6.25,5,2.5,6.25,125
64.29,0.91,1.43,1.14,3.43,51.43
1.71,4.29,4,4.29,7.14,267.14
10,1.5,3,1.25,6.25,75
25,1,0.5,0.33,1.67,98.27
2.5,2.82,3.75,1.25,4.5,62.5
0.5,2.5,10,3.75,5,125
2,0.4,0.6,1,3,40
6.25,1.25,5,5,11.25,182.5
6,2,2,1,4,100
1.23,1.86,2.86,5,2,64.29
140,4,4,4,8,120
6,1,1,2,6,130
300,1,5,10,15,11.67
4,1.4,5,3,9,75
1.25,1.5,1.5,0.25,3.75,72.5
1.67,4,1.67,1.67,4.17,66.67
15,20,15,10,15,180
2.57,1,0.43,0.43,2.14,42.86
2.14,0.71,1.43,0.71,1.43,17.14
100,2.67,5,10,16.67,72.22
2,1,2,1,3,22
12.5,5,5,5,12.5,75
200,6.25,3.75,1.5,7.5,121
60,0.56,6,4,6,75.8
100,2.5,1.67,5,13.33,40
1.67,1.67,4,1.67,6.67,76.67
180,5,2,1,5,61.89
1.11,1.11,1.11,1.11,1.67,24.44
300,10,6.67,2.33,16.67,242.11
3.75,5,5,5,20,125
3.33,0.83,1.67,1.67,6.67,116.67
5,3.33,0.83,1.67,5,116.67
2,2.5,3,1.5,20,100
12.5,5,17.5,10,17.5,150
65,1,1,0.6,1,80
1.2,4,6,1.2,12,120
2,5,15,5,12.5,425
7,1.93,3,1,4,29.2
6.67,3.33,6.67,2.33,6,121.67
5,1.43,6,8,7,180
4,2,3,2,5,80
5,5,10,3,20,160
5,0.67,2.33,0.67,4,133.33
10,5,4,10,30,500
5,3.33,5,4,6.67,186.67
1.2,3,2,1.6,4,80
1.67,0.67,3.33,3.33,10,240
1.67,0.67,1.67,1.67,3.33,66.67
120,0.4,1.6,2,2,1
100,1.73,3,1,5,4
3.33,1,3.33,0.67,6.67,120
128.57,3.57,1.43,1.43,5.71,85.71
0.57,0.57,0.71,0.71,1.43,51.43
0.67,1,2.5,0.5,5,33.33
8.33,3.33,13.33,8.33,15,200
2.5,5,2.5,2.5,5,150
5,1.6,2,1,2,100
2.5,1.67,1.67,0.67,3.33,33.33
175,5,3,1.5,6.25,128.75
13.33,8.33,10,5,13.33,133.33
5,2.5,7.5,1,10,87.5
75,0.5,1.25,2.5,5,4.38
2.5,1.25,2.5,1.25,3.75,162.5
0.5,1.33,1,0.33,1.5,37.5
300,4.18,10,2,12.5,52.5
2.5,1.25,1.25,1.25,5,150
66.67,1.67,1.33,0.67,4,80
80,4,6,2,6,80.53
3.33,1.29,5,1.67,6,83.33
6.25,1.88,1.88,0.88,5,87.5
10,3.33,1.67,3.33,6.67,126.67
30,1.5,1.2,2,6,5
120,1,2,4,4,38
0.75,0.75,2.5,0.75,3,15
5,1.5,2.5,1.25,10,175
2,3,3,2,6,72
0.83,2.67,4.17,1.67,6.67,100
3.33,0.67,1.67,1,3.33,66.67
1.25,3.75,5,3,8.75,130
175,1.5,5,2.5,10,62.5
75,1.67,1,1,4.17,32.5
4.38,2.5,2.5,1.25,7.5,137.5
2.5,2.5,7.5,2.5,15,150
100,3.33,8,6.67,13.33,200
6.67,1.67,3.33,1,5,120
10,1.33,5,1.67,6.67,120
5,1.25,0.5,2.5,1.75,37.5
4.17,2.5,3.33,1.67,5,120
7.5,1.08,2.5,5.63,2.5,150
3.33,0.67,2.67,0.67,5,86.67
2.5,2.5,1.25,0.75,7.5,100
1.75,3.75,1.5,2,5,90
250,15,10,3.75,30,145
2,0.6,2,0.6,4,72
120,0.4,4,1,6,1.6
2.14,1.43,2.86,0.71,2.86,50.71
1.67,1.67,3.33,1.67,6.67,116.67
3,2.5,1.5,3,3.75,95
1,1.5,3,1,5,90
5,2.5,0.75,0.75,2,112.5
1,7,6,5,10,300
5,2,5,1.67,13.33,116.67
41.67,0.83,1,1.67,8.33,116.67
120,6.7,3,3,10,305
1,0.67,1.33,1,6.67,120
7.5,2.5,2.5,5,10,150
66.67,0.17,1.17,1.33,2,2.5
175,1.25,5,2.5,7.5,51.67
2,0.8,2,0.6,2,60
1.5,8,10,2.5,15,182.5
8.33,4.17,0.83,2.5,6.67,71.67
123.33,1.33,4.67,6,6.67,57.22
2.27,3,4,0.4,6,150
3.75,0.75,2.5,1.25,5,100
4.17,3.33,1.33,2.5,4.17,243.33
75,1.2,4,4,3,30.6
3.33,2.67,4,2.33,6.67,100
1.67,1.33,8.33,3.33,20,256.67
33.33,1.67,3.33,6.67,2,240
1.25,3,6.25,5,10,315
0.5,0.5,0.67,0.83,2.5,33.33
3.13,5,10,4,12.5,150
2.5,2.5,9,2.5,15,250
1,1,3.6,2.8,5.6,104
60,1,1.67,0.67,3.33,249.12
2.5,2,1.5,3,5,95
2,1.67,5,2.67,6.67,100
0.6,0.6,2,0.8,4.4,70
75,2.25,2.5,2.88,7.5,75
3,1,3.4,0.8,6,36
210,8.33,5,3.33,10,237.33
1,0.67,0.67,0.67,1.67,90
21.25,5,5,3,12,200
20,25,10,7.5,25,250
200,7.5,7.5,30,35,7.5
1,4,3,2,4,80
57.14,0.43,2.14,0.71,2.14,42.86
1,1,0.75,1,2,27.5
10,8,8,5,20,133.33
12.5,2.5,7.5,6,10,225
7.5,5,10,5,12.5,187.5
2.5,1.25,2.5,1.25,2.5,80
3.75,187.5,3.75,2.5,5,182.5
3.33,2.67,4,6.67,10,200
15,6,7.5,10,15,460
0.5,1.25,1.25,1.25,2.5,8.75
10,5,6.67,3.33,6.67,233.33
2,0.8,2,0.6,4,72
166.67,0.78,8.33,1.67,8.33,72.22
3.2,1.4,5,2,6,180
10,1.5,7.5,1.5,7.5,200
10,5,5,2.5,20,100
6.67,2,3.33,1.67,6.67,56.67
5,3,2.5,1,12.5,150
10,2,4,2.5,10,350
10,1.67,2.67,1.67,6.67,100
150,1.3,5,7.5,6.25,109
2,1.4,3,0.6,8,90
8.33,0.5,1.67,0.83,1.67,66.67
10,3,3,2,6,74
6.67,0.67,3.33,3.33,10,120
3.33,3.33,3.33,3.33,5,158.33
1,1.5,0.4,0.6,3,36
1.5,2.5,3,2.5,10,100
240,3,3,2,10,65.05
83.33,0.67,2.5,2.33,4,0.83
1.5,2,2,2.5,10,110
1.5,3,5,2.75,16.25,250
0.83,1.7,4.17,3.33,6.67,116.67
1,3.84,4,3,8,120
42.86,0.29,0.71,4.29,1.43,1.12
150,4.17,2,1,5,103.17
5,2.5,5,2.5,5,65
0.75,1,1.5,1.5,3.75,90
8.33,4.82,6,3.33,8,193.33
0.75,1,1,1.25,2.5,35
3.75,3.25,3.75,4.5,4.5,91.25
3.33,2.33,1,13.33,5,136.67
5,1.67,3.33,1.67,6.67,133.33
283.33,10,6,2.33,9.33,84
75,1.43,0.75,0.75,3.75,75
12.5,12.5,10,3,15,90
2,2,2,2,5,80
10,2,2,2,6,36
120,1,3,2,8,80
120,4,6,3,2,41.33
160,0.83,11.67,6.67,23.33,2
30,1.25,2.5,3.75,5,130
60,1.56,1,2,2,72
3.33,2,4,2,5,86.67
200,3.33,8.33,2,16.67,6.67
1.25,0.75,1.25,0.75,6.25,100
125,0.75,3.75,7.5,20,1.75
350,2,8,15,13,22.5
74,1.2,3.4,4.8,3.8,62.6
3.57,2.14,2.14,2.14,2.86,50
3.33,1.37,2.67,0.83,5.83,76.67
1.33,1.67,2,1,3.67,120
150,0.75,5,2,5,81.25
3.33,1.33,2,4,10,133.33
7.5,5,5,2.5,7.5,180
8,1,3,0.6,3,70
19.25,4,3.5,2,7.5,225
5,2.67,5,1,6.67,50
175,10,7.5,5,10,127.63
1,2.8,4,4,10,120
6.67,1.67,10,3.33,10,233.33
15,5,6,5,1,95
2,0.6,2,0.6,3,70
50,4,5,2,10,200
2.5,5,10,7.5,20,300
3.75,1.25,1.5,0.75,2.5,55
0.71,0.71,0.71,1.86,1.14,50
20,2.25,15,5,24,90
3.75,1,6.25,1,1,91.25
1.25,0.88,1,1,0.75,50
71.43,0.71,1.43,1.43,2.14,5
100,3.25,3.75,2.5,5,72.5
2,3,3.5,3.5,9,75
1.67,1,1.67,2,5,60
6,2,6,1,8,160
2.96,5,1.25,6.25,7.5,215
6.25,2.48,4.5,2.5,10,145
1.25,1.5,1.25,0.75,2.5,162.5
1.4,2.4,5,4,4,100
4,0.6,1,2,2,96
5,2.5,5,7.5,15,275
1,0.6,2,0.4,2,40
3,1,2.4,1.2,2.4,26
6.25,1.25,3.75,3.75,6.25,200
10,2,6,10,17.5,350
5,2.33,3.6,2,5,140
1.33,1.67,10,1.67,11.67,83.33
10,2.5,12.5,1.25,15,90
3.75,1.5,3.75,2,6.25,137.5
3.33,4.38,5,1.67,6,83.33
3.33,0.5,0.83,0.67,1.67,61.67
250,10,10,7.5,15,101.97
63.75,0.5,2.5,0.25,5,37.5
0.5,0.75,1.25,0.5,2.5,40
51.43,0.29,0.71,0.86,2.86,24.05
5,0.6,4,0.6,6,150
2.67,4,2.67,2.33,8.33,126.67
1.43,1.64,2.14,0.71,1.71,31.43
10,8.33,5,3.33,10,133.33
50,0.8,2.2,4,2,20.67
30,0.4,0.8,1.6,4,40
4.17,1.67,2.5,0.83,4.17,60
33.33,3.33,2,0.33,4.17,104
300,6.4,2.5,7.5,7.5,294.45
2.86,1.14,1.43,0.71,3.57,102.86
2.5,5,1.25,1.25,7.5,180
3.33,1.67,5,5,8.33,240
250,2,10,3,20,216.67
71.43,2.86,4.29,1.14,8.57,70.71
0.75,1,1,0.5,1.75,87.5
1,1.25,1.25,0.5,2.5,87.5
5,4.38,5,2.5,10,96.25
1,0.4,1,2,3,108
112.5,0.75,3.75,1.25,5,56.25
229.17,3.25,1.88,1.63,15,105.18
2,2.33,2,1,4,250
4,1.25,3.75,3.75,5,90
5,3.75,3,3.75,7.5,150
3.33,3.33,13.33,3.33,16,120
5,3.33,5,2.67,11.67,150
116.67,1.25,1.67,0.83,10,55.42
3,0.75,3.33,1.17,4,93.33
10,5,1,0.6,6,120
25,5,10,5,10,100
4,0.8,3,1,5,92
13.33,8.33,5,5,6.67,200
7.5,2.5,7.5,5,10,200
150,3.15,2.5,7.5,12.5,97.5
2,1.88,1.25,1.25,3,37.5
4,3,4,1,8,90
60,5,0.4,0.4,3,106.67
2.5,1.5,3.75,1.25,5,125
0.43,0.43,0.71,0.14,0.86,24.29
2.5,3,7.5,2.5,12.5,90
300,7.5,2.5,2.5,7.5,180.56
2.5,1,1.25,1.25,5,105
5,2.75,2,2.5,6.25,95
5,7.5,3.75,2,7.5,250
3,5,7.5,3,12.5,190
250,7.14,2.14,4.29,1.43,34.86
450,5,25,25,37.5,141.67
29.17,0.33,0.42,0.5,0.67,3.33
4,1.25,1.25,2,6.25,125
5,2,5,2.67,6.67,120
0.5,0.56,1.67,2.5,1.67,30.83
10,5,5,7.5,15,350
125,2.34,5,2,6,10
0.83,0.5,0.83,0.33,2.5,33.33
125,1,3.75,1,5,125
2,0.8,2,2,4,80
5,1.5,2.5,2.5,12.5,112.5
5,2.5,2.5,3.75,7.5,162.5
2.4,1.2,1,0.8,4,82
3,3,3,3,4,110
150,3.75,5,2.5,6.25,136.03
400,1.67,4,5,8.33,16.67
5,8.33,5,5,11.67,316.67
10,1.67,3.33,10,6.67,166.67
53.33,0.33,2.33,0.83,2.5,50
150,0.75,3.75,3.75,2.5,11.46
2.5,0.5,1.67,1.67,5,124
10,5,5,3.33,6.67,150
1.67,0.61,1.67,2.5,4.17,75
200,3.64,3,6,6,162
6.59,5,10,5,15,200
100,3,4.8,8,4.8,130
200,10,11.67,8.33,13.33,149.3
10,10,3.5,3,1.5,280
1.25,1.18,1.88,0.63,2.25,31.25
3.75,1.25,6.25,4,10,187.5
7.5,2,3,6.25,7.5,137.5
2,1.6,3,1.2,4,32
1.67,0.83,1,0.5,1.67,33.33
1.67,1,1.67,1.67,5,63.33
1.5,3,2.5,5,9,225
100,4,5,4,6,82.63
2.14,0.71,0.71,1,2.14,64.29
3,10,4,8,10,200
2.5,4.5,5,2.5,6.25,112.5
160,1,5,2,6,6
3,3,3,3,4,110
13.33,6.67,5,3.33,10,120
0.33,1,0.83,1.25,1.67,60
6.67,6.67,10,2.67,26.67,300
7.5,3.75,5,3.75,8.75,100
1.67,1.73,3,3.33,6.67,75
16.67,3.33,6.67,3.33,6.67,300
8.33,5,3.33,6.67,13.33,160
137.5,2.5,2.5,1,3.75,202
1.06,0.88,0.75,0.75,2.5,62.5
4,2,2,2,4,100
120,5,3,2,7,120
0.75,1,0.75,0.5,1.5,42.5
5,2.5,2,3.75,10,150
3.33,1.67,2.5,0.5,1.33,83.33
2.86,1.43,0.43,0.43,2.86,100
14.75,6.67,5,1.33,8.33,233.33
166.67,0.83,2,2,3.33,3.33
5,1,2,2,3,120
2,0.4,1.2,1,6,72
0.4,1.6,0.6,0.8,2.4,72
2,1,4,2,5,160
5,2.35,3.6,2,4.8,116
0.67,3.33,4.33,2.67,8.33,133.33
1.67,1.67,2.5,2.5,3.33,91.67
16.67,10,10,3.33,16.67,100
35.71,0.43,1.43,0.86,1.43,0.57
4.24,4,5,1.67,3.33,200
10,2,4,1.6,5,26
66.67,0.33,2.33,2.67,3.33,1
300,10,10,10,50,50
3.75,2,1.5,0.75,3.75,92.5
5,5,9,1.25,5,90
2.5,1,1.25,0.5,3.75,140
20,4,7.5,3.5,15,200
13.33,5,8.33,3.33,10,300
2.5,1.25,2,0.75,3.75,75
5,1,1.67,0.83,4.17,58.33
2,2.33,3,5,8,70
1.25,3.75,3,5,10,125
40,2,3,2,4,66.32
5,7.2,8,5,12,290
1.67,1.67,0.67,1.17,6.67,86.67
1,0.4,2,0.6,4,80
1.67,1.33,1.67,1,6.67,83.33
17.14,2.86,0.71,14.29,14.29,92.86
30,0.5,1.2,1.5,1.3,38
8.33,1.67,1.67,1.33,2.5,150
10,2,4,2,12,200
1.25,2.5,2.5,1.75,6.25,90
2,2.5,7.5,1.5,7.5,100
7.5,6,9,4.5,12.5,200
1.25,1.25,1.25,3,6.25,96.25
3.33,0.67,1.67,1.67,3.33,100
1.25,0.75,1.25,1.5,2.5,45
3.33,5,1.67,1,6.67,120
50,0.6,5,2,7,2
0.4,0.8,0.6,0.6,2.4,72
8.33,5,1.67,6.67,5,108.67
1.25,1.25,2.5,1.25,3.75,125
3,2.2,5,2,5,122
13.33,6.67,5,6,6.67,130
3,2,1,2,3.4,60
3.33,1.67,3.33,6.67,5,200
7.5,2.5,5,3,7.5,250
3,4,2.5,3.5,12.5,125
100,3,5,2,6,177.89
90,0.53,1.6,2,3,4
0.88,1.33,1.25,1.25,10,92.5
200,8.33,10,11.67,13.33,263.16
25,7.5,10,3.5,15,200
0.5,2,3.5,1.5,4,162
100,1.25,3.75,1.25,2.5,7.5
1.2,3,4,2,5,80
6,0.8,1.6,5,3,130
225,2.5,7.5,2.5,12.5,282.5
10,5,10,2.5,12.5,225
3.67,1.67,1.67,1.67,13.33,166.67
3,4,15,2,35,250
28.57,1.43,2.86,1.43,7.14,0.71
3,1.6,2.7,2.6,5.6,224
10,3.75,3.75,5,5,175
1.25,1.25,1.25,1.25,2.5,25
15,10,30,15,40,250
13.33,5,6.67,1.67,10,133.33
5.5,12,12.5,5,25,500
85.71,0.71,2.86,3.57,2.14,18.21
6.25,7.5,5,1.25,7.5,135
2.67,2.52,4.33,1.33,5.33,76.67
2.5,1.25,2.5,2.5,7.5,187.5
15,2.5,6.25,1.5,10,10
2.14,1.71,1.43,1.43,4.29,50
6.67,3.33,3.33,1.33,11.67,240
60,7.07,3,1,4,1.6
6.25,13.75,12.5,1.25,16.25,200
1.67,2.17,2,1.67,5.83,66.67
66.67,1.67,2.67,3.33,11.11,15
3.33,1,4.17,4.17,5,210
3.33,0.83,6.67,2.5,10.83,128.33
2.33,6.67,8.33,1.33,16.67,193.33
0.5,0.5,4.67,2,4.17,108.33
3.18,4.5,3,2.5,6.25,150
114,4,2,1,5.6,62.8
3.33,3.33,10,1.67,13.33,233.33
87.5,2.5,3.75,1.25,5,12.5
6.67,3.33,6.67,3.33,13.33,333.33
3,4,4,4,2,50
3.33,1,3.33,1,4,100
7.14,2.14,2.57,1.14,6.43,71.43
3.75,1.25,3.25,1.75,7,130
6.67,1.67,1.67,2.67,11.67,123.33
8.33,2,5,3.33,13.33,126.67
5,2.26,3.6,6,4.6,146
6.25,2.5,1.25,0.75,5,45
1.25,3,3,3.75,10,125
0.75,0.75,1,1,2.5,100
3.33,3.33,6.67,6.67,10,83.33
5,1,4,6,12,400
1.3,0.8,4.8,1.8,7.2,134
4,1,3,1,3,36
1.67,0.83,0.5,0.33,1.67,28.33
5,3.33,1.67,3.33,13.33,100
233.33,3.33,3.33,1.67,5,6.67
75,2.5,2.5,2.5,5,15
2.5,0.5,0.75,0.75,5,62.5
3.75,1.25,2.5,3.75,6.25,75
6,10,4,2,6,120
1.67,6.47,5,3.33,11.67,166.67
7.5,5,6.25,1.25,10,85
133.33,5,6.67,6.67,5,100.67
5.83,6.67,3.33,5.33,10,183.33
3.33,3.8,5,5,11.67,166.67
1.25,3.2,3.75,2.5,7.5,100
0.25,0.5,3,1.5,6,67.5
5,10,6.25,1.5,15,187.5
47.5,1.33,1.25,1.25,2,193.75
5,3,3,1.2,8,140
86.86,1,4,2.7,12,80
7.5,2.5,5,1.25,7.5,150
6.25,3.33,1.67,1.67,10,233.33
10,1.4,4,3,5,60
4,1.2,2,2,5,130
4,2,2,1.2,7,144
115,2.5,7.5,1.5,12.5,5
4,2,8,2,10,160
7.5,10,6,10,12.5,300
0.75,1.25,1.25,0.5,3.75,62.5
3.75,1.5,2,1.25,3.75,62.5
17.5,3,2,1.5,7.5,75
5,1.5,2.5,1.5,15,100
2.5,1.25,0.75,0.5,1.25,50
2,4,4,4,12,140
40,1,1,1,3,128.42
6.25,6.25,6.25,5,5,180
1.5,0.75,1,0.75,3.13,91.25
0.56,2.22,3.33,1.11,5.56,88.89
2.5,0.75,3.75,0.75,3.75,125
5,2,5,2.5,20,240
83.33,0.5,1,4.17,1.67,0.83
133.33,1.67,0.83,3.33,8.33,66.83
1,1.33,1,2.67,3.33,50
8.33,1.67,3.33,1,5.83,91.67
5,1.25,2.5,1.25,3.75,90
2.14,2.14,1,2,5.71,71.43
0.5,0.5,1.67,0.33,5,50
54.55,0.65,1.09,4.55,1.09,32.73
260,12,2.4,1,13,140
60,3.14,4.29,0.71,7.14,53.57
1,1,2.4,2,6,70
7.5,10.5,6.25,1.5,3.75,225
2.5,3,2.5,2.5,5,325
5,5.83,1.67,3.33,8.33,83.33
100,0.5,2.5,1.5,6.25,28.33
7.5,0.75,5,2.5,7.5,100
10,9,9,10,10,190
2.5,1,8.75,2.5,8.75,175
145,2.5,6.25,5,5,1.88
13.33,3.33,5,1.67,5,183.33
1,0.6,2,0.6,3,56
0.4,0.6,0.8,0.6,3,70
240,8,3.33,3.33,13,178.33
120,3.67,1.67,10,10,190
5,1,1.25,1.5,11.25,91.25
1.5,0.6,1,1,3,100
5,8.8,10,2.5,17.5,275
0.5,1.13,0.75,3,4,95
5,1.2,1,1.2,4,73
62.5,0.75,2.5,0.75,3.75,50
56.79,4.29,3.14,2.86,6.43,85.71
300,7.5,12.5,15,20,300
0.83,0.83,0.83,1.67,4.17,56.67
5,5,3.33,3.33,10,333.33
33.33,2.08,1.67,0.83,8.33,79.17
1.25,3.75,3.75,3.75,5,87.5
1,1.5,3,1.5,40,140
1.25,4.25,6.25,3.75,10,150
2.5,2.5,2.5,1.25,2.5,90
2.5,1,2,1.25,6.25,142.5
3.33,2.67,4,3.33,5,250
10,3.33,6.67,3.33,10,233.33
7.5,20,17.5,3.5,20,300
2.5,0.75,2.5,1.25,2.5,75
1,1,1.25,0.75,2,75
7.14,2.86,2.14,2.14,2.86,71.43
5,2.5,7.5,2.5,7.5,150
16.67,0.33,2.5,0.5,2.5,2.26
1.67,2.5,3.33,1.67,5,75
6,1.5,2,3,7.5,75
6.25,7.5,7.5,6.25,7.5,250
1.5,2.5,2,1,4.5,125
5,4.41,11.25,5,10,220
110.15,0.5,2.5,0.25,2.5,87.5
3.75,12.5,7.5,3.75,7.5,187.5
1.5,1.5,12.5,3,15,182.5
10,3.33,13.33,3.33,16.67,166.67
1.17,0.5,0.67,0.33,3.33,53.33
175,3.33,3.33,1.67,1.67,121.67
0.83,1.67,0.83,1.67,3.33,33.33
1.67,1.67,0.83,1.67,4.17,100
15,7.5,7.5,10,20,200
2.5,0.75,2.5,1.25,5,140
266.67,8.33,4,1.33,10,196.33
1,0.4,0.4,0.6,2,30
66.67,1,3.33,3.33,6.67,116.67
20,7.72,7,9,9,274
200,5,3.33,1.67,10,79.82
4,1.6,2.4,4,8,120
180,1.5,2.5,5,15,141.5
150,2.5,7.5,1,12.5,120.84
2.5,4.25,5,3,8.75,150
150,1.5,5,0.75,6.25,156.25
6,0.6,3,1,5,70
150,2.3,3,5,7.5,90
1.25,2.5,3.75,4.5,10,112.5
7.5,4,5.33,5,3.33,100
60,1,1,1,2,127.78
4,1,0.8,0.6,3.6,90
3.75,2.5,6.25,2.5,10,250
0.83,5,5,4.17,6.67,250
1.67,2.67,4.33,7.33,3,66.67
5,5.5,3.75,6.25,15,200
6.25,1.25,0.88,0.75,1.5,40
6,1,3.6,3,7,50
300,10,7.5,4,12.5,346
100,4,5,2,6,66.95
6.67,1.67,2.5,1.67,4.17,63.33
0.75,1.5,1.5,1.5,10,85
1.5,2.5,1.5,1.25,3.75,62.5
6.67,1.33,3.33,1,6.67,150
15,10,10,2.5,10,150
2.5,0.5,0.5,0.5,1.67,71.67
25,5,2,5,10,225
83.33,2.33,3.33,3.33,5,233.33
25,5,5,13,25,350
26,4,8,5,12,50
8,0.6,3,1,5,120
1.67,1,1.33,1.33,3.33,61.67
15,2.08,1.25,0.5,2.5,50
120,4,6,6,10,68.74
1.33,1.67,2.33,2.33,6.67,100
2.5,0.5,1.67,0.83,2.5,83.33
1,0.4,1,0.6,3,30
2.5,1.67,4.17,1.67,10,125
5,0.8,5,0.6,2.4,140
15,10,2.5,1.25,10,150
7.5,1,4,1.5,7.5,180
120,3,3,2,9,77.33
0.5,1.5,1,1,2.5,90
2.5,0.75,2.5,3.75,5,112.5
125,2.5,3.75,1.25,3.75,243.06
3.75,2.5,5,2,12.5,150
2,4.5,2.5,1.25,5,90
6.25,2.44,4.5,2.5,7.5,150
2,3,3,4,4,110
3.33,1,3.33,6.67,13.33,166.67
8.64,9,6,7.5,5,90
12.5,2,5,2,10,230
11.25,5,17.5,10,17.5,200
50,3.33,1,1,3.33,58.15
7.5,2.5,5,2.5,20,400
2,3,1.5,1.5,5,175
66.67,3.33,6.67,8.33,11.67,81.4
1,2.5,1.5,0.75,3.75,100
60,1.24,1,3,2,51.11
80,1,3,2,2,7
10,2,2,2,8,80
60,1.4,0.6,1,2.6,105.56
5,5,5,3.33,6.67,66.67
120,3,3,2,6,87.37
5,2.13,3.6,2,5.2,120
200,12.5,3.33,3.33,13.33,20
0.83,0.33,0.67,1.67,3.33,105
2.86,3.57,2.14,2.14,5.71,85.71
0.25,0.5,1.25,0.75,2.5,57.5
10,4.67,2,1,12,70
60,2,0.6,2,6,86.67
1.4,4,6,0.8,12,180
1,3.04,3,3,8,120
1.9,1.2,2,2.4,6,40
4,0.4,1.2,0.6,3.6,60
150,1.25,1.75,6.25,3.75,1
40,0.2,0.6,0.8,1,1
5,4.4,7.5,7.5,10,300
101.67,7.5,2.5,2.5,10,250
90,0.6,2,0.4,4,90
3.33,4.39,5,1.67,6,83.33
43.33,1,1.67,4.17,1.33,38.89
0.33,0.83,0.5,0.5,3.33,100
3.89,6.67,8,8.33,11.67,200
20,0.4,1,1,1.6,110
4.17,2.5,0.83,1.67,4.17,63.33
1.43,0.57,1.71,0.71,3.57,102.86
110,0.6,3,1,4,117.33
2,3,10,3,10,100
1.67,1.67,1.67,0.5,3.33,60
8.33,1.67,3.33,1.67,3.33,150
3.75,0.75,1.25,0.75,5,137.5
5,5,5,2.5,7.5,100
0.75,0.75,1.25,0.5,2.5,42.5
5,2.5,5,2.5,7.5,97.5
450,10,12.5,20,55,27.25
0.67,0.67,3.33,6,6.67,106.67
5,7.5,5,5,5,40
37.5,1.75,2,2.5,11.25,137.5
1,2.5,2,2,5,200
60,1.3,1,4,2,140
3.75,1.25,5,5,12.5,125
5,1,3.75,0.75,5,112.5
116.67,0.67,2.33,3.33,5,1.67
5,10,1.67,1.67,5,100
0.7,0.8,0.8,0.6,2.4,100
3.33,1.67,5,1.67,8.33,180
0.75,1.75,5,2.5,25,170
141.67,1.67,2,1.67,2,127.78
1.67,1.67,2.33,0.67,4,53.33
3.33,3.33,4.17,5,11.67,133.33
4,6,4,2,17,106
1.67,2.5,1.67,1.67,5,125
75,2.5,5,2.5,5,10
0.33,1.17,0.5,0.5,1.67,38.33
2,1,3,1,4,70
2,0.6,0.8,0.6,4,110
3.33,1.17,1.17,1.17,3.33,123.33
16.67,0.33,0.83,0.83,2.5,150
2.5,7.5,6.25,5,7.5,180
2,0.6,2,1,4,60
90,5,10,12.5,15,140
7.5,6.25,3.75,1.25,7.5,275
1,0.67,1.67,0.67,3.33,60
1,0.4,1,1,4,72
2.5,0.67,1,1,1.67,30
10,6.5,2.5,2.5,12.5,175
1.67,0.83,1.67,1.67,5,60
0.5,0.5,0.5,0.3,0.6,45
1,1.4,1.4,2,5,64
1.33,1.67,1.67,0.67,2.67,58.33
1.67,0.5,0.33,0.5,1.67,30
66.67,1.33,1.33,1.67,1.67,90
0.4,0.4,0.6,0.4,2,30
3,0.5,3,1.5,1.25,136.25
3.75,2.5,3.75,5,10,360
250,0.9,1.67,8.33,10,35
7.5,5,7.5,2.5,12.5,360
2.5,1.25,3.75,0.75,6.25,125
300,20,10,10,5,12
2,3,3.75,1.25,9.5,45
150,1.5,5,1.5,7.5,90
6.25,1.25,3.75,1,6.25,187.5
0.4,1,0.8,0.8,3,98
5,2.5,3.75,7.5,10,150
2.5,2.5,1.25,1.25,6.25,50
1.25,1.5,1.5,1,3.5,200
200,1.5,3,5,10,1.5
8.33,1.67,1.67,1.67,1.67,50
150,5.25,2.5,20,20,12.5
1.5,2,1.5,3,5,65
2.5,1.67,3.33,3.33,10,100
150,2.5,3.75,15,20,225
83.33,0.5,1.5,1.67,2.5,0.33
7.5,5,3.75,2.5,6.25,87.5
12.5,7.5,7.5,2.5,15,350
0.83,0.5,1,1.67,2.5,66.67
5,8.1,15,15,40,400
5,1,3,2,5,120
2.5,2.65,5,5,10,187.5
