bread_1_flour_white.kg,bread_2_cereal.kg,bread_3_rice.kg,bread_4_beans.kg,bread_5_macaroni.kg,bread_6_lavash.kg
2.5,0.5,3.75,0.5,6.25,95
200,1.33,4.17,3.33,6.67,0.5
2.38,3,5,2.5,7.5,250
10,1.5,2.5,2.5,9,300
100,4.17,1.67,5,6.67,183.33
150,0.5,2.5,3.75,5,6.25
1.25,1,2.5,1.25,5,140
3,1,5,2,4,72
6.67,5,6,2,11.67,120
6.25,2.08,4.5,2.5,6,145
90,2,1,1.6,3,0.6
10,2.67,5,2.33,10,133.33
2.5,2.63,3.75,1.25,4.5,62.5
20,12.67,6,3,25,337.33
0.75,0.5,1.25,1.5,2.5,25
4,2.5,7.5,5,5,185
160,1,2,3,3.6,37.6
5,12.5,10,7.5,22.5,260
7.5,3.75,3.75,1.25,5,87.5
166.67,1,5,1.67,8.33,153.33
1.5,3,1.5,2.5,12.5,275
6.25,5,5,2.5,8.75,187.5
1,1.5,2.5,1,10,45
71.43,0.67,1.71,7.14,4.29,2.86
2.5,0.5,2.5,1.25,10,135
101.25,0.75,0.75,2.5,6.25,87.5
300,3.2,7.5,15,12.5,195
5,10,0.75,0.75,5,137
5,5,5,10,20,240
133.33,1,2.33,5,3.33,1
1,1.17,2,4.2,3,36.6
41.67,0.83,0.67,1.17,16.67,41.67
62.5,1.75,1.25,1.25,5,213.86
83.33,2.73,1.67,1.67,3.33,120
57.14,0.43,0.71,1.14,5,28.57
1.5,1.25,1.5,2,3.75,60
400,10,15,7.5,25,81.06
1.67,5.5,3.33,1.67,8.33,63.33
3.33,3.33,10,3.33,13.33,200
200,2,4.5,5,7.5,5
1.25,2.75,5,3.75,8.75,137.5
100,2,2,0.8,4,156.18
1.5,1.5,1.25,0.75,3,175
4,0.8,3,1,4,140
150,1.25,5,1.25,6.25,3.75
125,0.75,1.25,2.5,2.5,17.5
180,10,6,6,12,80
0.5,0.5,1.75,0.75,3.75,80
6.67,5,5,3.33,10,250
5,1.5,5,1.25,7.5,125
55.56,0.5,0.5,0.83,2.5,20
