CountryID,Country Name,Abbr,Region,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate,Income Tax Rate,Corporate Tax Rate,Tax Burden perc of GDP,GDP Growth Rate,Unemployment
153,Sri Lanka,LKA,Asia-Pacific,48,48.3,30,85.3,31.2,72.8,57.5,76,74.5,35,40,5.3,24,28,10.7,5.2,4.7
154,Sudan,SDN,Sub-Saharan Africa,31.1,19.8,18.9,86.5,85.5,53.9,49.7,59.3,50.5,15,20,14.7,10,35,5.2,3.5,13.6
155,Suriname,SUR,Americas,45.1,15.4,31.7,70.1,16.2,48.6,76.1,75.1,68.4,30,30,10.8,38,36,15.7,0.1,7.8
156,Swaziland,SWZ,Sub-Saharan Africa,53.5,33.3,30.9,74.8,93.2,57.5,64.4,75.6,88.9,50,40,0.6,33,27.5,26,1.7,25.6
157,Sweden,SWE,Europe,88.6,82.2,87.4,44.4,93.4,90.8,53.2,85.3,87,85,80,1.5,57,22,42.7,4.1,7.4
158,Switzerland,CHE,Europe,86.9,77.6,80.3,70.9,95.8,76.8,72.2,84.4,90,85,90,0,11.5,8.5,27.1,0.9,4.3
159,Syria,SYR,Middle East / North Africa,37.3,22.6,30,,0,66.4,55.7,,56.6,,,14.2,22,28,,-4.8,
160,Taiwan ,TWN,Asia-Pacific,86.5,67.7,70.5,75.3,83.7,93.4,55,85.2,86.2,65,60,1.9,45,17,12.3,0.7,3.8
161,Tajikistan,TJK,Asia-Pacific,45.5,45.6,32.7,90.9,95.8,65.6,49.2,69.8,73.9,25,30,5.6,13,15,22.8,3,10.9
162,Tanzania,TZA,Sub-Saharan Africa,33.8,28.8,29.2,80.3,76.6,50.1,64.3,69.6,76,55,50,7,30,30,13.2,7,3.2
163,Thailand,THA,Asia-Pacific,51.3,41.7,40.7,81,96.3,69.9,62.8,72.9,82.8,50,60,3.6,35,20,16.5,2.8,1.1
164,Timor-Leste,TLS,Asia-Pacific,6.8,10.3,29.2,64.7,20,72.2,63.9,77.5,80,45,20,2.5,10,10,61.5,4.3,
165,Togo,TGO,Sub-Saharan Africa,33.8,39.9,36.8,68.2,45.1,50.3,46.2,77.5,71.3,60,30,9.4,45,27,20.7,5.3,7.7
166,Tonga,TON,Asia-Pacific,65.5,19.8,47.6,86.9,79.6,76.1,86,80.6,79.7,40,20,5.2,20,25,17,2.6,5.2
167,Trinidad and Tobago,TTO,Americas,54.7,48.7,36.8,81.4,51.8,67.7,71.4,75.9,78.6,60,50,5.7,25,25,24.7,-1.8,3.8
168,Tunisia,TUN,Middle East / North Africa,49.6,39.9,37.3,73.7,53.4,80.6,56.1,75.9,63.8,35,30,13.1,35,30,22.5,0.8,14.8
169,Turkey,TUR,Europe,61.3,52.5,40.7,75.5,95.7,64.3,48.5,72.2,79.4,75,60,2.8,35,20,28.7,3.8,10.3
170,Turkmenistan,TKM,Asia-Pacific,32.4,5,29.6,95.3,98.9,30,20,74.8,80,0,10,0,10,8,17.4,6.5,10
171,Uganda,UGA,Sub-Saharan Africa,39.3,34.6,28.7,73.7,78.1,42.4,84.6,80.3,78.3,60,40,5.9,40,30,11.4,5,3.6
172,Ukraine,UKR,Europe,41.4,22.6,29.2,78.6,67.9,62.1,48.8,47.4,85.9,25,30,2.1,20,18,37.6,-9.9,9.9
173,United Arab Emirates,ARE,Middle East / North Africa,76.7,85,74.2,96.4,99.2,81.1,80.9,78.4,83.5,40,60,3.2,0,0,19,3.9,3.7
174,United Kingdom,GBR,Europe,93.8,93,78.3,65.1,40.4,89.9,72.8,85,87,90,80,1.5,45,20,32.6,2.2,5.5
175,United States,USA,Americas,81.3,75.1,78.1,65.3,53.3,84.4,91,80.1,87.1,80,70,1.4,39.6,35,26,2.4,5.3
176,Uruguay,URY,Americas,70.2,66.8,70.3,77.5,77.2,74.8,62.9,71.3,80.6,85,30,4.7,30,25,26.9,1.5,7.3
177,Uzbekistan,UZB,Asia-Pacific,48,41.9,27.5,90.7,99.8,64.8,50.4,61.1,66.8,0,10,6.6,22,7.5,19.7,8,10.1
178,Vanuatu,VUT,Asia-Pacific,65.5,33,70.5,97,99.1,51.4,58.1,74.8,73.9,65,40,5.5,0,0,17.2,-0.8,4.3
179,Venezuela,VEN,Americas,6.8,10.3,11.6,72.5,15.2,39.7,28.5,16.8,60.7,0,10,9.7,34,34,20.9,-5.7,8
180,Vietnam,VNM,Asia-Pacific,49.7,32,24.6,79.6,21.1,61.2,62.2,76,83.1,25,40,3.4,35,22,18.2,6.7,2.1
181,Yemen,YEM,Middle East / North Africa,37.3,22.6,17.4,,10.6,51.4,54.2,59.7,,,,4.1,20,20,,-28.1,15.9
182,Zambia,ZMB,Sub-Saharan Africa,49.6,39.8,35,73.1,21.6,66.6,48.2,70.7,78.3,55,50,3.4,35,35,15.47510467,3.6,10.7
183,Zimbabwe,ZWE,Sub-Saharan Africa,27.3,26.1,14.7,61.1,90.6,36.2,33.1,76.5,52.8,25,10,13.6,51.5,25,24.8,1.5,9.3
184,Somalia,SOM,Sub-Saharan Africa,6.8,,11.6,100,0,92.3,91.8,,,,,,,,,3.7,
185,Kosovo,UNMIK,Europe,70.3,58,45.9,93.5,88.9,68.8,65.3,80,70.8,65,30,7.1,10,10,21.1,3.3,
186,Brunei Darussalam,BRN,Asia-Pacific,62.5,39.9,40.9,85.6,100,76.6,90.4,76.1,89.1,65,50,0.5,0,18.5,33.1,-0.2,1.9
